,path,items,AGM
0,GZIP_y2016_s2000/CIK__1000180__serial__846826__date__2016-01-27.txt.gz,False,False
1,GZIP_y2016_s2000/CIK__1000209__serial__865038__date__2016-05-06.txt.gz,False,False
2,GZIP_y2016_s2000/CIK__1000209__serial__865040__date__2016-05-20.txt.gz,False,False
3,GZIP_y2016_s2000/CIK__1000209__serial__902462__date__2016-12-19.txt.gz,False,False
4,GZIP_y2016_s2000/CIK__1000229__serial__846838__date__2016-01-27.txt.gz,False,False
5,GZIP_y2016_s2000/CIK__1000623__serial__846850__date__2016-02-18.txt.gz,False,False
6,GZIP_y2016_s2000/CIK__1000683__serial__902476__date__2016-12-01.txt.gz,False,False
7,GZIP_y2016_s2000/CIK__1000694__serial__865064__date__2016-06-10.txt.gz,False,False
8,GZIP_y2016_s2000/CIK__1000697__serial__885441__date__2016-07-26.txt.gz,False,False
9,GZIP_y2016_s2000/CIK__1000753__serial__865068__date__2016-04-01.txt.gz,True,False
10,GZIP_y2016_s2000/CIK__1001288__serial__865090__date__2016-04-20.txt.gz,False,True
11,GZIP_y2016_s2000/CIK__1002590__serial__846925__date__2016-01-20.txt.gz,False,False
12,GZIP_y2016_s2000/CIK__1002910__serial__902547__date__2016-12-06.txt.gz,False,False
13,GZIP_y2016_s2000/CIK__1003201__serial__846934__date__2016-02-23.txt.gz,True,False
14,GZIP_y2016_s2000/CIK__1003509__serial__902563__date__2016-11-01.txt.gz,False,False
15,GZIP_y2016_s2000/CIK__1004155__serial__865168__date__2016-05-05.txt.gz,False,False
16,GZIP_y2016_s2000/CIK__1004673__serial__902578__date__2016-11-23.txt.gz,False,False
17,GZIP_y2016_s2000/CIK__1004702__serial__846966__date__2016-01-08.txt.gz,False,True
18,GZIP_y2016_s2000/CIK__10048_0__serial__865196__date__2016-04-28.txt.gz,False,False
19,GZIP_y2016_s2000/CIK__10048_0__serial__902592__date__2016-12-22.txt.gz,False,False
20,GZIP_y2016_s2000/CIK__1004980__serial__865209__date__2016-06-02.txt.gz,False,False
21,GZIP_y2016_s2000/CIK__1004989__serial__846991__date__2016-03-30.txt.gz,False,False
22,GZIP_y2016_s2000/CIK__100517___serial__847001__date__2016-03-08.txt.gz,False,False
23,GZIP_y2016_s2000/CIK__1005201__serial__865230__date__2016-04-25.txt.gz,False,False
24,GZIP_y2016_s2000/CIK__1005286__serial__865245__date__2016-05-31.txt.gz,True,False
25,GZIP_y2016_s2000/CIK__1005414__serial__902647__date__2016-12-13.txt.gz,False,False
26,GZIP_y2016_s2000/CIK__100625___serial__865280__date__2016-04-15.txt.gz,False,False
27,GZIP_y2016_s2000/CIK__1006837__serial__865298__date__2016-04-14.txt.gz,True,False
28,GZIP_y2016_s2000/CIK__1008848__serial__885655__date__2016-08-15.txt.gz,False,False
29,GZIP_y2016_s2000/CIK__100885___serial__865339__date__2016-04-21.txt.gz,False,False
30,GZIP_y2016_s2000/CIK__100885___serial__885657__date__2016-08-05.txt.gz,False,False
31,GZIP_y2016_s2000/CIK__1009759__serial__902721__date__2016-10-18.txt.gz,False,False
32,GZIP_y2016_s2000/CIK__1009759__serial__902724__date__2016-12-07.txt.gz,False,False
33,GZIP_y2016_s2000/CIK__1009891__serial__865365__date__2016-05-04.txt.gz,False,False
34,GZIP_y2016_s2000/CIK__1010552__serial__865387__date__2016-06-08.txt.gz,False,False
35,GZIP_y2016_s2000/CIK__1010552__serial__885694__date__2016-09-07.txt.gz,False,False
36,GZIP_y2016_s2000/CIK__1010858__serial__902751__date__2016-11-29.txt.gz,False,False
37,GZIP_y2016_s2000/CIK__1011006__serial__885704__date__2016-07-26.txt.gz,False,False
38,GZIP_y2016_s2000/CIK__1011509__serial__847125__date__2016-02-18.txt.gz,False,False
39,GZIP_y2016_s2000/CIK__1011659__serial__902767__date__2016-10-24.txt.gz,False,False
40,GZIP_y2016_s2000/CIK__1012019__serial__847144__date__2016-02-10.txt.gz,False,False
41,GZIP_y2016_s2000/CIK__1012477__serial__885740__date__2016-07-01.txt.gz,False,False
42,GZIP_y2016_s2000/CIK__1012493__serial__885751__date__2016-09-28.txt.gz,False,False
43,GZIP_y2016_s2000/CIK__1012569__serial__885756__date__2016-08-16.txt.gz,False,False
44,GZIP_y2016_s2000/CIK__1012620__serial__902804__date__2016-11-01.txt.gz,False,False
45,GZIP_y2016_s2000/CIK__1013237__serial__902814__date__2016-12-22.txt.gz,True,False
46,GZIP_y2016_s2000/CIK__1013706__serial__885777__date__2016-08-11.txt.gz,False,False
47,GZIP_y2016_s2000/CIK__101382___serial__847187__date__2016-02-01.txt.gz,False,False
48,GZIP_y2016_s2000/CIK__1013857__serial__847188__date__2016-02-24.txt.gz,False,False
49,GZIP_y2016_s2000/CIK__1013871__serial__865513__date__2016-05-05.txt.gz,False,False
50,GZIP_y2016_s2000/CIK__1013871__serial__885785__date__2016-08-03.txt.gz,False,False
51,GZIP_y2016_s2000/CIK__1014111__serial__865525__date__2016-05-04.txt.gz,False,False
52,GZIP_y2016_s2000/CIK__1014111__serial__902840__date__2016-12-12.txt.gz,False,False
53,GZIP_y2016_s2000/CIK__1014507__serial__847208__date__2016-02-08.txt.gz,False,False
54,GZIP_y2016_s2000/CIK__1017303__serial__847251__date__2016-03-03.txt.gz,False,False
55,GZIP_y2016_s2000/CIK__101778___serial__847268__date__2016-03-04.txt.gz,False,False
56,GZIP_y2016_s2000/CIK__101778___serial__885844__date__2016-08-22.txt.gz,True,False
57,GZIP_y2016_s2000/CIK__1017793__serial__885847__date__2016-08-02.txt.gz,False,False
58,GZIP_y2016_s2000/CIK__1018254__serial__847289__date__2016-02-10.txt.gz,True,False
59,GZIP_y2016_s2000/CIK__1018399__serial__865620__date__2016-05-05.txt.gz,False,True
60,GZIP_y2016_s2000/CIK__1019361__serial__847325__date__2016-02-04.txt.gz,False,False
61,GZIP_y2016_s2000/CIK__1019671__serial__885880__date__2016-07-13.txt.gz,False,False
62,GZIP_y2016_s2000/CIK__1019671__serial__902942__date__2016-12-06.txt.gz,False,False
63,GZIP_y2016_s2000/CIK__1019737__serial__902948__date__2016-11-22.txt.gz,False,False
64,GZIP_y2016_s2000/CIK__102037___serial__885893__date__2016-07-11.txt.gz,False,False
65,GZIP_y2016_s2000/CIK__1020569__serial__865684__date__2016-04-01.txt.gz,False,False
66,GZIP_y2016_s2000/CIK__1020569__serial__865687__date__2016-05-02.txt.gz,False,False
67,GZIP_y2016_s2000/CIK__1020569__serial__865692__date__2016-06-03.txt.gz,False,False
68,GZIP_y2016_s2000/CIK__1020710__serial__885905__date__2016-07-11.txt.gz,True,False
69,GZIP_y2016_s2000/CIK__1020710__serial__885906__date__2016-08-09.txt.gz,False,False
